empresa_id,tirante_id,poste_id,propiedad,cudn,apoyo,muerto,datum,zona,x,y,lat,long
18,1476175,711749,Inst. de distribució,TBSTCC,Tierra,Con Muerto,PSAD56,19,182184.851,5702817.331,-38.76876320,-72.66008310
18,1476177,714211,Inst. de distribució,TBSTCC,Tierra,Con Muerto,PSAD56,19,169922.940,5698582.274,-38.80234130,-72.80294620
18,1476180,653229,Inst. de distribució,TBSTCC,Tierra,Con Muerto,PSAD56,19,177110.123,5700851.554,-38.78459770,-72.71929350
18,1476187,759675,Inst. de distribució,TBSTCC,Tierra,Con Muerto,PSAD56,19,171709.991,5697241.657,-38.81506310,-72.78304990
18,1476188,763942,Inst. de distribució,TBSTCC,Tierra,Con Muerto,PSAD56,19,181559.012,5699729.067,-38.79630980,-72.66869680
18,1476193,757842,Inst. de distribució,TBSTCC,Tierra,Con Muerto,PSAD56,19,178375.489,5701707.993,-38.77735860,-72.70435670
18,1476204,711726,Inst. de distribució,TBSTCC,Tierra,Con Muerto,PSAD56,19,181911.152,5702257.125,-38.77370240,-72.66348510
18,1476207,787894,Inst. de distribució,TBSTCC,Tierra,Con Muerto,PSAD56,19,175038.094,5699696.575,-38.79422230,-72.74364220
18,1476212,659598,Inst. de distribució,TBSTCC,Tierra,Con Muerto,PSAD56,19,177487.759,5701518.144,-38.77874170,-72.71464350
18,1476224,658555,Inst. de distribució,TBSTCC,Tierra,Con Muerto,PSAD56,19,173545.911,5697167.574,-38.81641140,-72.76198460
18,1476231,662434,Inst. de distribució,TBSTCC,Tierra,Con Muerto,PSAD56,19,172983.473,5698772.998,-38.80176720,-72.76768740
18,1476232,765930,Inst. de distribució,TBSTCC,Tierra,Con Muerto,PSAD56,19,173154.798,5700414.327,-38.78707220,-72.76494110
18,1476233,707783,Inst. de distribució,TBSTCC,Tierra,Con Muerto,PSAD56,19,172341.695,5698314.458,-38.80565190,-72.77527980
18,1476240,795475,Inst. de distribució,TBSTCC,Tierra,Con Muerto,PSAD56,19,171668.707,5700069.150,-38.78962390,-72.78217830
18,1476244,766095,Inst. de distribució,TBSTCC,Tierra,Con Muerto,PSAD56,19,182348.841,5701134.855,-38.78395260,-72.65897330
18,1476249,763081,Inst. de distribució,TBSTCC,Tierra,Con Muerto,PSAD56,19,177044.933,5700940.174,-38.78377700,-72.72000100
18,1476252,659618,Inst. de distribució,TBSTCC,Tierra,Con Muerto,PSAD56,19,176134.997,5698943.271,-38.80139980,-72.73139220
18,1476253,658555,Inst. de distribució,TBSTCC,Tierra,Con Muerto,PSAD56,19,173545.911,5697167.574,-38.81641140,-72.76198460
18,1476254,763135,Inst. de distribució,TBSTCC,Tierra,Con Muerto,PSAD56,19,177466.353,5700375.571,-38.78900830,-72.71542330
18,1476260,757376,Inst. de distribució,TBSTCC,Tierra,Con Muerto,PSAD56,19,172245.112,5698170.470,-38.80691070,-72.77645820
18,1476263,713501,Inst. de distribució,TBSTCC,Tierra,Con Muerto,PSAD56,19,177962.110,5701923.653,-38.77526850,-72.70900500
18,1476266,804426,Inst. de distribució,TBSTCC,Tierra,Con Muerto,PSAD56,19,180585.129,5701766.712,-38.77763350,-72.67894490
18,1476268,657200,Inst. de distribució,TBSTCC,Tierra,Con Muerto,PSAD56,19,168903.201,5700319.097,-38.78634250,-72.81383010
18,1476273,654068,Inst. de distribució,TBSTCC,Tierra,Con Muerto,PSAD56,19,179887.274,5700703.974,-38.78693730,-72.68745480
18,1476279,762819,Inst. de distribució,TBSTCC,Tierra,Con Muerto,PSAD56,19,170791.047,5700818.452,-38.78255920,-72.79190410
18,1476282,712437,Inst. de distribució,TBSTCC,Tierra,Con Muerto,PSAD56,19,172104.109,5696164.165,-38.82489830,-72.77903300
18,1476285,656444,Inst. de distribució,TBSTCC,Tierra,Con Muerto,PSAD56,19,176091.566,5698640.051,-38.80411040,-72.73203370
18,1476286,713552,Inst. de distribució,TBSTCC,Tierra,Con Muerto,PSAD56,19,174176.172,5699128.444,-38.79901280,-72.75381400
18,1476295,714204,Inst. de distribució,TBSTCC,Tierra,Con Muerto,PSAD56,19,173616.785,5699802.242,-38.79274710,-72.75992300
18,1476302,653637,Inst. de distribució,TBSTCC,Tierra,Con Muerto,PSAD56,19,174837.244,5700843.351,-38.78383640,-72.74540960
18,1476307,708967,Inst. de distribució,TBSTCC,Tierra,Con Muerto,PSAD56,19,176406.835,5699229.293,-38.79892770,-72.72813420
18,1476310,706873,Inst. de distribució,TBSTCC,Tierra,Con Muerto,PSAD56,19,171808.051,5697405.715,-38.81362440,-72.78184480
18,1476323,657532,Inst. de distribució,TBSTCC,Tierra,Con Muerto,PSAD56,19,179190.633,5700566.935,-38.78791650,-72.69552260
18,1476324,762399,Inst. de distribució,TBSTCC,Tierra,Con Muerto,PSAD56,19,178856.182,5701130.723,-38.78272490,-72.69910310
18,1476330,764829,Inst. de distribució,TBSTCC,Tierra,Con Muerto,PSAD56,19,173000.879,5699929.187,-38.79137740,-72.76693930
18,1476331,661354,Inst. de distribució,TBSTCC,Tierra,Con Muerto,PSAD56,19,172473.659,5700889.264,-38.78254900,-72.77254110
18,1476332,712045,Inst. de distribució,TBSTCC,Tierra,Con Muerto,PSAD56,19,170625.964,5699056.426,-38.79834090,-72.79464150
18,1476336,653804,Inst. de distribució,TBSTCC,Tierra,Con Muerto,PSAD56,19,180361.600,5702001.982,-38.77543680,-72.68140400
18,1476342,705786,Inst. de distribució,TBSTCC,Tierra,Con Muerto,PSAD56,19,167887.178,5700482.519,-38.78449110,-72.82542330
18,1480941,707220,Inst. de distribució,TBSTCC,Tierra,Con Muerto,PSAD56,19,182955.762,5701170.037,-38.78385470,-72.65198390
18,1481230,654405,Inst. de distribució,TBSTCC,Tierra,Con Muerto,PSAD56,19,182091.571,5702742.232,-38.76940490,-72.66118920
18,1482081,704983,Inst. de distribució,TBSTCC,Tierra,Con Muerto,PSAD56,19,180750.360,5700614.039,-38.78805900,-72.67757980
18,1482086,657534,Inst. de distribució,TBSTCC,Tierra,Con Muerto,PSAD56,19,182734.152,5700323.531,-38.79138760,-72.65491920
18,1482387,708256,Inst. de distribució,TBSTCC,Tierra,Con Muerto,PSAD56,19,178626.975,5702006.730,-38.77476390,-72.70132860
18,1483275,758814,Inst. de distribució,TBSTCC,Tierra,Con Muerto,PSAD56,19,180477.041,5700749.701,-38.78674000,-72.68065740
18,1484081,72249,Inst. de distribució,TBSTCC,Tierra,Con Muerto,PSAD56,19,182444.346,5702639.447,-38.77045630,-72.65718400
18,1488920,38128,Inst. de distribució,TBSTCC,Tierra,Con Muerto,PSAD56,19,184325.555,5702679.436,-38.77077180,-72.63555520
18,1489093,756701,Inst. de distribució,TBSTCC,Tierra,Con Muerto,PSAD56,19,180323.416,5700301.533,-38.79071460,-72.68263010
18,1489994,653209,Inst. de distribució,TBSTCC,Tierra,Con Muerto,PSAD56,19,181788.365,5700608.990,-38.78847960,-72.66565540
18,1501724,24766,Inst. de distribució,TBSTCC,Tierra,Con Muerto,PSAD56,19,184731.095,5702750.631,-38.77027650,-72.63086390
18,1503393,1716834228,Inst. de distribució,TBSTCC,Tierra,Con Muerto,PSAD56,19,178982.696,5702100.673,-38.77404860,-72.69719860
18,1504430,1716851305,Inst. de distribució,TBSTCC,Tierra,Con Muerto,PSAD56,19,178705.530,5700238.395,-38.79069430,-72.70124930
18,1504431,1716853136,Inst. de distribució,TBSTCC,Tierra,Con Muerto,PSAD56,19,174898.265,5701381.008,-38.77902420,-72.74445540
18,1504433,1716862339,Inst. de distribució,TBSTCC,Tierra,Con Muerto,PSAD56,19,181079.538,5699246.720,-38.80047410,-72.67442960
18,1504434,78700,Inst. de distribució,TBSTCC,Tierra,Con Muerto,PSAD56,19,177855.768,5699369.522,-38.79819740,-72.71141870
18,1504438,1716851755,Inst. de distribució,TBSTCC,Tierra,Con Muerto,PSAD56,19,173564.790,5697474.056,-38.81366260,-72.76162240
18,1504452,8998056,Inst. de distribució,TBSTCC,Tierra,Con Muerto,PSAD56,19,173185.136,5697461.543,-38.81363440,-72.76599170
18,1504459,1716845895,Inst. de distribució,TBSTCC,Tierra,Con Muerto,PSAD56,19,178320.933,5701919.762,-38.77543440,-72.70488480
18,1504461,1716857218,Inst. de distribució,TBSTCC,Tierra,Con Muerto,PSAD56,19,172780.732,5701053.354,-38.78118750,-72.76893570
18,1504468,1717225790,Inst. de distribució,TBSTCC,Tierra,Con Muerto,PSAD56,19,178588.165,5700709.954,-38.78641100,-72.70237820
18,1504476,51231,Inst. de distribució,TBSTCC,Tierra,Con Muerto,PSAD56,19,172761.121,5701038.199,-38.78131650,-72.76916820
18,1504527,723068,Inst. de distribució,TBSTCC,Tierra,Con Muerto,PSAD56,19,169790.633,5699937.696,-38.79010450,-72.80381770
18,1504535,797949,Inst. de distribució,TBSTCC,Tierra,Con Muerto,PSAD56,19,182020.756,5700456.115,-38.78993820,-72.66305560
18,1504537,733072,Inst. de distribució,TBSTCC,Tierra,Con Muerto,PSAD56,19,178594.446,5700734.835,-38.78618950,-72.70229440
18,1504540,727205,Inst. de distribució,TBSTCC,Tierra,Con Muerto,PSAD56,19,171601.032,5698425.006,-38.80438220,-72.78373850
18,1504549,673843,Inst. de distribució,TBSTCC,Tierra,Con Muerto,PSAD56,19,174813.820,5699988.027,-38.79151890,-72.74608180
18,1504561,722788,Inst. de distribució,TBSTCC,Tierra,Con Muerto,PSAD56,19,171175.435,5698264.456,-38.80566710,-72.78870560
18,1504563,718613,Inst. de distribució,TBSTCC,Tierra,Con Muerto,PSAD56,19,169688.523,5699743.430,-38.79181300,-72.80508380
18,1504577,795116,Inst. de distribució,TBSTCC,Tierra,Con Muerto,PSAD56,19,178694.310,5700244.297,-38.79063710,-72.70137540
18,1504599,712039,Inst. de distribució,TBSTCC,Tierra,Con Muerto,PSAD56,19,173222.081,5700449.262,-38.78678300,-72.76415160
18,1504622,714202,Inst. de distribució,TBSTCC,Tierra,Con Muerto,PSAD56,19,174065.375,5700869.690,-38.78331460,-72.75426470
18,1504637,1716853128,Inst. de distribució,TBSTCC,Tierra,Con Muerto,PSAD56,19,175093.356,5701439.053,-38.77857420,-72.74218700
18,1504645,38363,Inst. de distribució,TBSTCC,Tierra,Con Muerto,PSAD56,19,171661.613,5697044.486,-38.81681790,-72.78369980
18,1504651,704383,Inst. de distribució,TBSTCC,Tierra,Con Muerto,PSAD56,19,171179.703,5698294.427,-38.80539920,-72.78864230
18,1504682,756004,Inst. de distribució,TBSTCC,Tierra,Con Muerto,PSAD56,19,181669.896,5702139.236,-38.77467560,-72.66631100
18,1504696,1716852951,Inst. de distribució,TBSTCC,Tierra,Con Muerto,PSAD56,19,174325.281,5697020.171,-38.81802540,-72.75309650
18,1504738,51242,Inst. de distribució,TBSTCC,Tierra,Con Muerto,PSAD56,19,170374.435,5700164.677,-38.78828210,-72.79700220
18,1504754,1716851759,Inst. de distribució,TBSTCC,Tierra,Con Muerto,PSAD56,19,174380.160,5697072.557,-38.81757460,-72.75244100
18,1504767,1716860059,Inst. de distribució,TBSTCC,Tierra,Con Muerto,PSAD56,19,169673.327,5700849.507,-38.78186210,-72.80472900
18,1504791,709253,Inst. de distribució,TBSTCC,Tierra,Con Muerto,PSAD56,19,175769.666,5700907.476,-38.78360310,-72.73466740
18,1504793,705068,Inst. de distribució,TBSTCC,Tierra,Con Muerto,PSAD56,19,179031.863,5700776.335,-38.78597570,-72.69724950
18,1504796,761325,Inst. de distribució,TBSTCC,Tierra,Con Muerto,PSAD56,19,178528.398,5700299.585,-38.79007940,-72.70325600
18,1504801,657063,Inst. de distribució,TBSTCC,Tierra,Con Muerto,PSAD56,19,172568.372,5701162.024,-38.78013150,-72.77132370
18,1504806,762007,Inst. de distribució,TBSTCC,Tierra,Con Muerto,PSAD56,19,177685.121,5701065.699,-38.78288240,-72.71258740
18,1504815,757535,Inst. de distribució,TBSTCC,Tierra,Con Muerto,PSAD56,19,182270.063,5701167.045,-38.78363480,-72.65986360
18,1504816,656189,Inst. de distribució,TBSTCC,Tierra,Con Muerto,PSAD56,19,172113.920,5697700.184,-38.81109060,-72.77818950
18,1504817,763940,Inst. de distribució,TBSTCC,Tierra,Con Muerto,PSAD56,19,182934.085,5700847.670,-38.78674590,-72.65238100
18,1504818,762866,Inst. de distribució,TBSTCC,Tierra,Con Muerto,PSAD56,19,180294.575,5700523.471,-38.78870830,-72.68285870
18,1504826,707076,Inst. de distribució,TBSTCC,Tierra,Con Muerto,PSAD56,19,182006.798,5700253.011,-38.79175970,-72.66330960
18,1504827,757791,Inst. de distribució,TBSTCC,Tierra,Con Muerto,PSAD56,19,176124.979,5698881.460,-38.80195190,-72.73153640
18,1504828,657487,Inst. de distribució,TBSTCC,Tierra,Con Muerto,PSAD56,19,176456.228,5699916.162,-38.79276930,-72.72724450
18,1504829,765309,Inst. de distribució,TBSTCC,Tierra,Con Muerto,PSAD56,19,179239.735,5701428.803,-38.78018390,-72.69455800
18,1504830,706112,Inst. de distribució,TBSTCC,Tierra,Con Muerto,PSAD56,19,173895.820,5696805.170,-38.81979970,-72.75813440
18,1504839,758414,Inst. de distribució,TBSTCC,Tierra,Con Muerto,PSAD56,19,172188.937,5698871.911,-38.80058270,-72.77677030
18,1504840,765937,Inst. de distribució,TBSTCC,Tierra,Con Muerto,PSAD56,19,169558.221,5698472.053,-38.80319570,-72.80718980
18,1504862,759893,Inst. de distribució,TBSTCC,Tierra,Con Muerto,PSAD56,19,177725.979,5699074.271,-38.80080500,-72.71304810
18,1504864,707130,Inst. de distribució,TBSTCC,Tierra,Con Muerto,PSAD56,19,174276.056,5699625.252,-38.79458240,-72.75243170
18,1504865,758861,Inst. de distribució,TBSTCC,Tierra,Con Muerto,PSAD56,19,175684.254,5698834.197,-38.80221490,-72.73662320
18,1504875,705657,Inst. de distribució,TBSTCC,Tierra,Con Muerto,PSAD56,19,171079.725,5698994.885,-38.79906370,-72.78945710
18,1504885,660411,Inst. de distribució,TBSTCC,Tierra,Con Muerto,PSAD56,19,169178.564,5700322.622,-38.78641410,-72.81066500
18,1504889,662624,Inst. de distribució,TBSTCC,Tierra,Con Muerto,PSAD56,19,180021.861,5700217.211,-38.79136350,-72.68613420
18,1504898,710271,Inst. de distribució,TBSTCC,Tierra,Con Muerto,PSAD56,19,178365.263,5699930.585,-38.79333820,-72.70530240
18,1504899,657484,Inst. de distribució,TBSTCC,Tierra,Con Muerto,PSAD56,19,174914.497,5701361.734,-38.77920350,-72.74427800
18,1504900,658543,Inst. de distribució,TBSTCC,Tierra,Con Muerto,PSAD56,19,176558.717,5701020.791,-38.78287380,-72.72554920
18,1504902,763162,Inst. de distribució,TBSTCC,Tierra,Con Muerto,PSAD56,19,174597.355,5699041.042,-38.79995430,-72.74901550
18,1504910,712040,Inst. de distribució,TBSTCC,Tierra,Con Muerto,PSAD56,19,172557.177,5701040.735,-38.78121800,-72.77150980
18,1504933,762025,Inst. de distribució,TBSTCC,Tierra,Con Muerto,PSAD56,19,175549.932,5699595.583,-38.79531900,-72.73780860
18,1504934,713569,Inst. de distribució,TBSTCC,Tierra,Con Muerto,PSAD56,19,173317.019,5697058.726,-38.81730530,-72.76466690
