empresa_id;conductor_id;tipo_conductor;cudn;detalle;cap_diseno;cap_termica;x_s0;x_s1;r_s0;r_s1;mat_conductor;tipo_proteccion;mat_aislante;separacion_fases;seccion_valor;seccion_unid
18;24563964;CableAéreoAluminioDesnudoBifás;CDACAL2A033000;COND DESN AER 15KV CABLE. AAAC. 2F 033 MM2;122;103.7;1.66;0.372;1.173;1.025;Aluminio;Desnudo;Desnudo;2023 mm;33;mm2
18;24555220;CableAéreoAluminioDesnudoBifás;CDACAL2A033000;Cable Desnudo AAAC 2x33mm2;122;103.7;1.66;0.372;1.173;1.025;Aluminio;Desnudo;Desnudo;2023 mm;33;mm2
18;24555834;CableAéreoAluminioDesnudoBifás;CDACAL2A034000;Al 2 AAAC 2ø;122;103.7;1.66;0.372;1.173;1.025;Aluminio;Desnudo;Desnudo;2023 mm;34;mm2
18;131929934;CableAéreoAluminioDesnudoBifás;CDACAL2A034000;CAl 2 AAAC 2ø;;;;;;;Aluminio;Desnudo;Desnudo;2023 mm;34;mm2
18;24576022;CableAéreoAluminioDesnudoBifás;CDACAL2A034000;CAl 2 AAAC 2ø;;;;;;;Aluminio;Desnudo;Desnudo;2023 mm;34;mm2
18;186372656;CableAéreoAluminioDesnudoBifás;CDACAL2A034000;Al 2 AAAC 3ø;;;1.66;0.372;1.173;1.025;Aluminio;Desnudo;Desnudo;2023 mm;34;mm2
18;24572087;CableAéreoAluminioDesnudoBifás;CDACAL2A035000;Al 35mm2 2ø;127;107.95;1.65;0.383;5.848;0.922;Aluminio;Desnudo;Desnudo;2023 mm;35;mm2
18;24564421;CableAéreoAluminioDesnudoBifás;CDACAL2A050000;Al 50mm2 2ø;160;136;1.639;0.372;4.907;0.646;Aluminio;Desnudo;Desnudo;2023 mm;50;mm2
18;24573581;CableAéreoAluminioDesnudoBifás;CDACAL2A054000;Al 1/0 AAAC 2ø OLD;161;136.85;1.645;0.358;0.785;0.637;Aluminio;Desnudo;Desnudo;2023 mm;54;mm2
18;24574012;CableAéreoAluminioDesnudoBifás;CDACAL2A070000;Al 70mm2 2ø;199;169.15;1.628;0.361;4.163;0.461;Aluminio;Desnudo;Desnudo;2023 mm;70;mm2
