empresa_id,equipo_id,tipo_equipo,marca,tipo_control,tipo_prot,num_operaciones,curva,pick_up,t_dial,adder,descripcion
18,414723,fusibles,S&C,,T,,1T,1.000,,,
18,415168,fusibles,S&C,,T,,10T,10.000,,,
18,416831,fusibles,S&C,,T,,10T,10.000,,,
18,416867,fusibles,S&C,,T,,10T,10.000,,,
18,416881,fusibles,S&C,,T,,10T,10.000,,,
18,417110,fusibles,S&C,,T,,10T,10.000,,,
18,417139,fusibles,S&C,,T,,10T,10.000,,,
18,417229,fusibles,S&C,,T,,10T,10.000,,,
18,417737,fusibles,S&C,,T,,10T,10.000,,,
18,417784,fusibles,S&C,,T,,10T,10.000,,,
18,417879,fusibles,S&C,,T,,10T,10.000,,,
18,417943,fusibles,S&C,,T,,10T,10.000,,,
18,418511,fusibles,S&C,,T,,10T,10.000,,,
18,418996,fusibles,S&C,,T,,10T,10.000,,,
18,420611,fusibles,S&C,,T,,10T,10.000,,,
18,420713,fusibles,S&C,,T,,10T,10.000,,,
