empresa_id,toma_tierra_id,elemento_id,tipo_elemento,propiedad,nodo_id,cudn,tipo_toma_tierra,tipo_electrodo,otros,datum,zona,x,y,lat,long
18,2276881,,otro,Inst. de distribució,,KB24A,Puesta a tierra de s,Conductor Cobre,,PSAD56,19,187150.611,5702377.407,-38.77449440,-72.60323770
18,2276925,,otro,Inst. de distribució,,KB24A,Puesta a tierra de s,Conductor Cobre,,PSAD56,19,187109.899,5702401.602,-38.77426230,-72.60369450
18,2293185,1982237,equipo,Inst. de distribució,39222260,KC24A,Puesta a tierra de p,Conductor Cobre,,PSAD56,19,186295.898,5694650.377,-38.84368260,-72.61657350
18,2293191,,otro,Inst. de distribució,,KB24A,Puesta a tierra de s,Conductor Cobre,,PSAD56,19,186242.086,5694630.860,-38.84383890,-72.61720120
18,2310219,,otro,Inst. de distribució,,KB24A,Puesta a tierra de s,Conductor Cobre,,PSAD56,19,187223.740,5702249.249,-38.77567290,-72.60245560
18,2310223,,otro,Inst. de distribució,,KB24A,Puesta a tierra de s,Conductor Cobre,,PSAD56,19,187228.161,5702337.307,-38.77488250,-72.60236490
18,2310328,,otro,Inst. de distribució,,KB24A,Puesta a tierra de s,Conductor Cobre,,PSAD56,19,187099.785,5702246.467,-38.77565390,-72.60388100
18,2310343,,otro,Inst. de distribució,,KB24A,Puesta a tierra de s,Conductor Cobre,,PSAD56,19,187081.313,5702266.866,-38.77546390,-72.60408390
18,2310462,,otro,Inst. de distribució,,KB24A,Puesta a tierra de s,Conductor Cobre,,PSAD56,19,187130.322,5702264.284,-38.77550450,-72.60352210
18,2310561,,otro,Inst. de distribució,,KB24A,Puesta a tierra de s,Conductor Cobre,,PSAD56,19,187175.084,5702261.994,-38.77554100,-72.60300880
18,3016148,,otro,Inst. de distribució,,KB24A,Puesta a tierra de s,Conductor Cobre,,PSAD56,19,187319.913,5702257.337,-38.77563420,-72.60134700
18,3016218,3016219,transformador_dx,Inst. de distribució,37904231,KC24A,Puesta a tierra de p,Conductor Cobre,,PSAD56,19,187225.987,5702307.849,-38.77514670,-72.60240320
18,3016291,,otro,Inst. de distribució,,KB24A,Puesta a tierra de s,Conductor Cobre,,PSAD56,19,187313.991,5702202.879,-38.77612190,-72.60143970
18,3016320,,otro,Inst. de distribució,,KB24A,Puesta a tierra de s,Conductor Cobre,,PSAD56,19,187277.436,5702159.494,-38.77649910,-72.60187930
18,3020004,3019953,transformador_dx,Inst. de distribució,40108861,KC24A,Puesta a tierra de p,Conductor Cobre,,PSAD56,19,185519.253,5696304.463,-38.82852990,-72.62474900
18,3022374,,otro,Inst. de distribució,,KB24A,Puesta a tierra de s,Conductor Cobre,,PSAD56,19,185465.450,5696303.351,-38.82852070,-72.62536810
18,3022375,,otro,Inst. de distribució,,KB24A,Puesta a tierra de s,Conductor Cobre,,PSAD56,19,185575.723,5696307.576,-38.82852210,-72.62409830
18,3031313,2159156,transformador_dx,Inst. de prop. terce,,KC24A,Puesta a tierra de p,Conductor Cobre,,PSAD56,19,186755.791,5702414.444,-38.77402120,-72.60775690
18,3038423,,otro,Inst. de distribució,,KB24A,Puesta a tierra de s,Conductor Cobre,,PSAD56,19,186094.056,5694587.080,-38.84417990,-72.61892340
18,3038476,,otro,Inst. de distribució,,KB24A,Puesta a tierra de s,Conductor Cobre,,PSAD56,19,186065.430,5694053.227,-38.84897070,-72.61949620
18,3038481,,otro,Inst. de distribució,,KB24A,Puesta a tierra de s,Conductor Cobre,,PSAD56,19,186092.285,5694175.449,-38.84788110,-72.61913160
18,3038555,,otro,Inst. de distribució,,KB24A,Puesta a tierra de s,Conductor Cobre,,PSAD56,19,185830.586,5694331.961,-38.84638020,-72.62206980
18,4118215,,otro,Inst. de distribució,,KB24A,Puesta a tierra de s,Conductor Cobre,,PSAD56,19,185898.477,5700263.671,-38.79305900,-72.61858490
18,4118260,,otro,Inst. de distribució,,KB24A,Puesta a tierra de s,Conductor Cobre,,PSAD56,19,185733.381,5699670.997,-38.79833020,-72.62075210
18,4118262,,otro,Inst. de distribució,,KB24A,Puesta a tierra de s,Conductor Cobre,,PSAD56,19,186088.139,5700554.491,-38.79051110,-72.61627310
18,4213532,2173074,transformador_dx,Inst. de distribució,,KC24A,Puesta a tierra de p,Conductor Cobre,,PSAD56,19,186743.622,5703284.281,-38.76619400,-72.60750220
18,4213565,445821,transformador_dx,Inst. de distribució,39662512,KC24A,Puesta a tierra de p,Conductor Cobre,,PSAD56,19,186714.199,5702960.756,-38.76909320,-72.60798690
18,4213580,,otro,Inst. de distribució,,KB24A,Puesta a tierra de s,Conductor Cobre,,PSAD56,19,186724.711,5702910.566,-38.76954830,-72.60788890
