empresa_id,estructura_id,propiedad,elemento_id,tipo_elemento,cudn,clase_tension,detalle cudn,datum,zona,x,y,lat,long
18,6176844,Inst. de distribució,6176362,nodo,ICB1AN,BT,,PSAD56,19,188069.544,5702039.194,-38.77786150,-72.59283300
18,6176862,Inst. de distribució,6176858,nodo,ICB1AN,BT,,PSAD56,19,188040.328,5702143.977,-38.77690880,-72.59312140
18,6176887,Inst. de distribució,6176350,nodo,ICB1AN,BT,,PSAD56,19,188075.228,5702167.561,-38.77670910,-72.59270970
18,6249239,Inst. de distribució,6249171,nodo,ICB1AN,BT,,PSAD56,19,187950.341,5702058.748,-38.77764350,-72.59419380
18,6249272,Inst. de distribució,6249162,nodo,ICB1AN,BT,,PSAD56,19,187886.306,5702071.489,-38.77750630,-72.59492370
18,6249281,Inst. de distribució,6249180,nodo,ICB1AN,BT,,PSAD56,19,187942.991,5702080.637,-38.77744410,-72.59426830
18,6249318,Inst. de distribució,6249157,nodo,ICB1AN,BT,,PSAD56,19,187973.538,5702112.328,-38.77716980,-72.59390300
18,6249328,Inst. de distribució,6249146,nodo,ICB1AN,BT,,PSAD56,19,188002.267,5702126.237,-38.77705490,-72.59356670
18,6249344,Inst. de distribució,6249148,nodo,ICB1AN,BT,,PSAD56,19,188016.136,5702090.111,-38.77738470,-72.59342370
18,6249358,Inst. de distribució,6249150,nodo,ICB1AN,BT,,PSAD56,19,188031.477,5702066.102,-38.77760610,-72.59325820
18,6249377,Inst. de distribució,6176362,nodo,ICB1AN,BT,,PSAD56,19,188069.544,5702039.194,-38.77786150,-72.59283300
18,6370127,Inst. de distribució,6370112,nodo,ICB1AN,BT,,PSAD56,19,187778.758,5702428.286,-38.77425930,-72.59599810
18,6378718,Inst. de distribució,6378712,nodo,ICB1AN,BT,,PSAD56,19,187923.688,5702392.193,-38.77463520,-72.59434930
18,6378810,Inst. de distribució,6378710,nodo,ICB1AN,BT,,PSAD56,19,187955.503,5702397.787,-38.77459620,-72.59398120
18,6749194,Inst. de distribució,772674,nodo,ICB1AN,BT,,PSAD56,19,187376.071,5703296.121,-38.76631180,-72.60023160
18,6749606,Inst. de distribució,713616,nodo,ICB1AN,BT,,PSAD56,19,188812.952,5701694.649,-38.78122290,-72.58444700
18,5239601,Inst. de distribució,5239188,nodo,ICB1AN,BT,,PSAD56,19,187510.160,5702217.492,-38.77606000,-72.59917930
18,5239693,Inst. de distribució,5239299,nodo,ICB1AN,BT,,PSAD56,19,187426.283,5702319.090,-38.77511660,-72.60009700
18,5239842,Inst. de distribució,5237369,nodo,ICB1AN,BT,,PSAD56,19,187569.604,5702088.368,-38.77724230,-72.59855480
18,5239846,Inst. de distribució,5237351,nodo,ICB1AN,BT,,PSAD56,19,187575.832,5702183.927,-38.77638510,-72.59844000
18,5257229,Inst. de distribució,5257199,nodo,ICB1AN,BT,,PSAD56,19,188129.052,5702337.004,-38.77520420,-72.59201480
18,5257233,Inst. de distribució,5257199,nodo,ICB1AN,BT,,PSAD56,19,188129.052,5702337.004,-38.77520420,-72.59201480
18,5282347,Inst. de distribució,664822,nodo,ICB1AN,BT,,PSAD56,19,187645.819,5703159.534,-38.76763570,-72.59719460
18,5282348,Inst. de distribució,781638,nodo,ICB1AN,BT,,PSAD56,19,187734.508,5703111.760,-38.76809680,-72.59619740
18,5282354,Inst. de distribució,729918,nodo,ICB1AN,BT,,PSAD56,19,187741.677,5702984.348,-38.76924520,-72.59617270
18,5282355,Inst. de distribució,664819,nodo,ICB1AN,BT,,PSAD56,19,187783.609,5702989.880,-38.76921030,-72.59568840
18,5282359,Inst. de distribució,772774,nodo,ICB1AN,BT,,PSAD56,19,187822.911,5702989.741,-38.76922550,-72.59523700
18,5282360,Inst. de distribució,721055,nodo,ICB1AN,BT,,PSAD56,19,187865.797,5702988.747,-38.76924960,-72.59474480
