empresa_id,cudn,caracter_item_ini,caracter_item_fin,desc_item,valor_opcion,desc_opcion
18,BAAC05040,3,3,MATERIAL,A,Albañilería - Ladril
18,BAAC05040,4,4,UBICACIÓN,C,Calzada Hormigón
18,BAAC05040,5,9,Volumen,05040,En dm3
18,BAAC05054,1,1,ítem,B,CÁMARAS
18,BAAC05054,2,2,TENSIÓN,A,AT
18,BAAC05054,3,3,MATERIAL,A,Albañilería - Ladril
18,BAAC05054,4,4,UBICACIÓN,C,Calzada Hormigón
18,BAAC05054,5,9,Volumen,05054,En dm3
18,BAAC05200,1,1,ítem,B,CÁMARAS
18,BAAC05200,2,2,TENSIÓN,A,AT
18,BAAC05200,3,3,MATERIAL,A,Albañilería - Ladril
18,BAAC05200,4,4,UBICACIÓN,C,Calzada Hormigón
18,BAAC05200,5,9,Volumen,05200,En dm3
18,BAAC05250,1,1,ítem,B,CÁMARAS
18,BAAC05250,2,2,TENSIÓN,A,AT
18,BAAC05250,3,3,MATERIAL,A,Albañilería - Ladril
18,BAAC05250,4,4,UBICACIÓN,C,Calzada Hormigón
18,BAAC05250,5,9,Volumen,05250,En dm3
18,BAAC05600,1,1,ítem,B,CÁMARAS
18,BAAC05600,2,2,TENSIÓN,A,AT
18,BAAC05600,3,3,MATERIAL,A,Albañilería - Ladril
18,BAAC05600,4,4,UBICACIÓN,C,Calzada Hormigón
18,BAAC05600,5,9,Volumen,05600,En dm3
18,BAAC06000,1,1,ítem,B,CÁMARAS
18,BAAC06000,2,2,TENSIÓN,A,AT
18,BAAC06000,3,3,MATERIAL,A,Albañilería - Ladril
18,BAAC06000,4,4,UBICACIÓN,C,Calzada Hormigón
18,BAAC06000,5,9,Volumen,06000,En dm3
18,BAAC07200,1,1,ítem,B,CÁMARAS
18,BAAC07200,2,2,TENSIÓN,A,AT
18,BAAC07200,3,3,MATERIAL,A,Albañilería - Ladril
18,BAAC07200,4,4,UBICACIÓN,C,Calzada Hormigón
18,BAAC07200,5,9,Volumen,07200,En dm3
18,BAAC08000,1,1,ítem,B,CÁMARAS
18,BAAC08000,2,2,TENSIÓN,A,AT
18,BAAC08000,3,3,MATERIAL,A,Albañilería - Ladril
18,BAAC08000,4,4,UBICACIÓN,C,Calzada Hormigón
18,BAAC08000,5,9,Volumen,08000,En dm3
18,BAAC08208,1,1,ítem,B,CÁMARAS
18,BAAC08208,2,2,TENSIÓN,A,AT
18,BAAC08208,3,3,MATERIAL,A,Albañilería - Ladril
18,BAAC08208,4,4,UBICACIÓN,C,Calzada Hormigón
18,BAAC08208,5,9,Volumen,08208,En dm3
18,BAAC09520,1,1,ítem,B,CÁMARAS
18,BAAC09520,2,2,TENSIÓN,A,AT
18,BAAC09520,3,3,MATERIAL,A,Albañilería - Ladril
