empresa_id,cudn,descripcion
18,BAAV02210,Camara AT Albañilería - Ladrillos Vereda Hormigón o Tierra de 221 dm3
18,BAAV02250,Camara AT Albañilería - Ladrillos Vereda Hormigón o Tierra de 225 dm3
18,BAAV02304,Camara AT Albañilería - Ladrillos Vereda Hormigón o Tierra de 230 dm3
18,BAAV02310,Camara AT Albañilería - Ladrillos Vereda Hormigón o Tierra de 231 dm3
18,BAAV02340,Camara AT Albañilería - Ladrillos Vereda Hormigón o Tierra de 234 dm3
18,BAAV02352,Camara AT Albañilería - Ladrillos Vereda Hormigón o Tierra de 235 dm3
18,BAAV02448,Camara AT Albañilería - Ladrillos Vereda Hormigón o Tierra de 244 dm3
18,BAAV02496,Camara AT Albañilería - Ladrillos Vereda Hormigón o Tierra de 249 dm3
18,BAAV02520,Camara AT Albañilería - Ladrillos Vereda Hormigón o Tierra de 252 dm3
18,BAAV02548,Camara AT Albañilería - Ladrillos Vereda Hormigón o Tierra de 254 dm3
18,BAAV02592,Camara AT Albañilería - Ladrillos Vereda Hormigón o Tierra de 259 dm3
18,BAAV02618,Camara AT Albañilería - Ladrillos Vereda Hormigón o Tierra de 261 dm3
18,BAAV02688,Camara AT Albañilería - Ladrillos Vereda Hormigón o Tierra de 268 dm3
18,BAAV02700,Camara AT Albañilería - Ladrillos Vereda Hormigón o Tierra de 270 dm3
18,BAAV02730,Camara AT Albañilería - Ladrillos Vereda Hormigón o Tierra de 273 dm3
18,BAAV02744,Camara AT Albañilería - Ladrillos Vereda Hormigón o Tierra de 274 dm3
18,BAAV02772,Camara AT Albañilería - Ladrillos Vereda Hormigón o Tierra de 277 dm3
18,BAAV02800,Camara AT Albañilería - Ladrillos Vereda Hormigón o Tierra de 280 dm3
18,BAAV02808,Camara AT Albañilería - Ladrillos Vereda Hormigón o Tierra de 280 dm3
18,BAAV02816,Camara AT Albañilería - Ladrillos Vereda Hormigón o Tierra de 281 dm3
18,BAAV02873,Camara AT Albañilería - Ladrillos Vereda Hormigón o Tierra de 287 dm3
18,BAAV02880,Camara AT Albañilería - Ladrillos Vereda Hormigón o Tierra de 288 dm3
18,BAAV02912,Camara AT Albañilería - Ladrillos Vereda Hormigón o Tierra de 291 dm3
18,BAAV02926,Camara AT Albañilería - Ladrillos Vereda Hormigón o Tierra de 292 dm3
18,BAAV02940,Camara AT Albañilería - Ladrillos Vereda Hormigón o Tierra de 294 dm3
18,BAAV02970,Camara AT Albañilería - Ladrillos Vereda Hormigón o Tierra de 297 dm3
18,BAAV02975,Camara AT Albañilería - Ladrillos Vereda Hormigón o Tierra de 297 dm3
18,BAAV03000,Camara AT Albañilería - Ladrillos Vereda Hormigón o Tierra de 300 dm3
18,BAAV03060,Camara AT Albañilería - Ladrillos Vereda Hormigón o Tierra de 306 dm3
18,BAAV03072,Camara AT Albañilería - Ladrillos Vereda Hormigón o Tierra de 307 dm3
18,BAAV03136,Camara AT Albañilería - Ladrillos Vereda Hormigón o Tierra de 313 dm3
18,BAAV03150,Camara AT Albañilería - Ladrillos Vereda Hormigón o Tierra de 315 dm3
18,BAAV03168,Camara AT Albañilería - Ladrillos Vereda Hormigón o Tierra de 316 dm3
18,BAAV03192,Camara AT Albañilería - Ladrillos Vereda Hormigón o Tierra de 319 dm3
18,BAAV03234,Camara AT Albañilería - Ladrillos Vereda Hormigón o Tierra de 323 dm3
